id,label,mentions
Jack,Jack,11575
Stephen,Stephen,11095
Martin,Martin,1081
Pullings,Pullings,1080
Killick,Killick,1076
Diana,Diana,968
Sophie,Sophie,722
Bonden,Bonden,769
Broke,Broke,469
Mowett,Mowett,413
Babbington,Babbington,399
Wray,Wray,314
Herapath,Herapath,351
Blaine,Blaine,206
Padeen,Padeen,310
Reade,Reade,335
Fielding,Fielding,185
Dundas,Dundas,215
Wogan,Wogan,228
Harte,Harte,166
Jagiello,Jagiello,219
Graham,Graham,216
Clarissa,Clarissa,304
Mrs_williams,Mrs_williams,207
Johnson,Johnson,198
George,George,171
Keith,Keith,86
Linois,Linois,93
Queenie,Queenie,92
Canning,Canning,140
Mrs_fielding,Mrs_fielding,104
Mrs_broad,Mrs_broad,83
Oakes,Oakes,153
Sam,Sam,91
Emily,Emily,71
Sarah,Sarah,74
Ledward,Ledward,80
Amos,Amos,37
General_aubrey,General_aubrey,38
Christy,Christy,59
Plaice,Plaice,121
Brigid,Brigid,104
Pontet,Pontet,40
Charlotte,Charlotte,60
Davies,Davies,54
Lesueur,Lesueur,57
Miss_smith,Miss_smith,28
Molly,Molly,28
Ramis,Ramis,21
